1_Treatment	2_Batch	3_wellNum	4_posNum	Count_cell_all	Count_cell_final	FileName_PM	FileName_TOTAL	FileName_nucleus	FileName_nucleus_cell_final_outline	FileName_score_bw	ImageNumber	ImageQuality_PowerLogLogSlope_nucleus	Intensity_MedianIntensity_PM_bgCorr_bgMask	Intensity_MedianIntensity_TOTAL_bgCorr_bgMask	Mean_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage	Mean_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage	Mean_cell_final_Math_cytoplasmAbundance	Mean_cell_final_Math_ratio	Mean_nucleus_final_AreaShape_Area	Mean_nucleus_final_AreaShape_Center_X	Mean_nucleus_final_AreaShape_Center_Y	Mean_nucleus_final_AreaShape_Compactness	Mean_nucleus_final_AreaShape_Eccentricity	Mean_nucleus_final_AreaShape_EulerNumber	Mean_nucleus_final_AreaShape_Extent	Mean_nucleus_final_AreaShape_FormFactor	Mean_nucleus_final_AreaShape_MajorAxisLength	Mean_nucleus_final_AreaShape_MaxFeretDiameter	Mean_nucleus_final_AreaShape_MaximumRadius	Mean_nucleus_final_AreaShape_MeanRadius	Mean_nucleus_final_AreaShape_MedianRadius	Mean_nucleus_final_AreaShape_MinFeretDiameter	Mean_nucleus_final_AreaShape_MinorAxisLength	Mean_nucleus_final_AreaShape_Orientation	Mean_nucleus_final_AreaShape_Perimeter	Mean_nucleus_final_AreaShape_Solidity	Median_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage	Median_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage	Median_cell_final_Math_cytoplasmAbundance	Median_cell_final_Math_ratio	Metadata_Channel	Metadata_FileLocation	Metadata_gene	Metadata_imageBaseName	Metadata_pathBase	Metadata_plateName	Metadata_plateRepl	Metadata_posPath	Metadata_siRNA	Metadata_wellPath	PathName_PM	PathName_TOTAL	PathName_nucleus	PathName_nucleus_cell_final_outline
INCENP_404	myplate_01	1	1	73	7	myplate_01--INCENP--404--W001--P01--PM.tif	myplate_01--INCENP--404--W001--P01--TOTAL.tif	myplate_01--INCENP--404--W001--P01--DNA.tif	myplate_01--INCENP--404--W001--P01--outlines.tif	myplate_01--INCENP--404--W001--P01--score.tif	1	-1,683539204	0,000204395	0,000244991	16,35971615	12,77632911	1	1,307384043	1253,571429	694	561	1,032132229	0,514906235	1	0,747500081	0,845859101	43,41891272	43,51280655	17,707964	6,572057555	5,867513221	35,89725663	36,47296943	-43,33701245	135,6162857	0,949752271	14,65836564	10,46788775	1	1,394209989	NA	NA	INCENP	myplate_01--INCENP--404--W001--P01	C:\tutorial	myplate	1	P01--INCENP--404	404	W001--INCENP--404	C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404	C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404	C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404	C:\tutorial\myplate_01--cellprofiler\W001--INCENP--404\P01--INCENP--404
PIK3CA_255	myplate_01	2	1	41	12	myplate_01--PIK3CA--255--W002--P01--PM.tif	myplate_01--PIK3CA--255--W002--P01--TOTAL.tif	myplate_01--PIK3CA--255--W002--P01--DNA.tif	myplate_01--PIK3CA--255--W002--P01--outlines.tif	myplate_01--PIK3CA--255--W002--P01--score.tif	2	-1,782585006	0,000601129	0,000275509	16,76369724	29,82000223	1	0,945693879	1368,833333	695,4166667	485	1,042932425	0,556499565	1	0,745402363	0,848506343	46,10921013	46,31401948	17,87198204	6,72775579	5,997194463	36,43141957	36,93679745	-1,712516113	140,347	0,956955661	15,43987915	19,22478835	1	1,045597785	NA	NA	PIK3CA	myplate_01--PIK3CA--255--W002--P01	C:\tutorial	myplate	1	P01--PIK3CA--255	255	W002--PIK3CA--255	C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255	C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255	C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255	C:\tutorial\myplate_01--cellprofiler\W002--PIK3CA--255\P01--PIK3CA--255
EPS8_193	myplate_01	3	1	82	31	myplate_01--EPS8--193--W003--P01--PM.tif	myplate_01--EPS8--193--W003--P01--TOTAL.tif	myplate_01--EPS8--193--W003--P01--DNA.tif	myplate_01--EPS8--193--W003--P01--outlines.tif	myplate_01--EPS8--193--W003--P01--score.tif	3	-1,76097378	0,000448539	0,00026025	14,32267119	17,44380387	1	1,091804129	1256,806452	619,7419355	491,516129	1,033856344	0,557407217	1	0,754571107	0,868276433	44,176317	43,90248408	17,59382282	6,622934848	5,88189881	35,22176581	35,86924375	-10,64806576	133,9693548	0,959786502	13,65716019	12,35286495	1	1,057588914	NA	NA	EPS8	myplate_01--EPS8--193--W003--P01	C:\tutorial	myplate	1	P01--EPS8--193	193	W003--EPS8--193	C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193	C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193	C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193	C:\tutorial\myplate_01--cellprofiler\W003--EPS8--193\P01--EPS8--193
PLCG2_515	myplate_01	4	1	62	18	myplate_01--PLCG2--515--W004--P01--PM.tif	myplate_01--PLCG2--515--W004--P01--TOTAL.tif	myplate_01--PLCG2--515--W004--P01--DNA.tif	myplate_01--PLCG2--515--W004--P01--outlines.tif	myplate_01--PLCG2--515--W004--P01--score.tif	4	-1,793396489	0,000601129	0,00026025	15,07338881	15,78305839	1	1,222484557	1177,722222	645,2777778	441,4444444	1,037665527	0,528430447	1	0,748769915	0,853663547	42,75773619	43,04892907	17,17403297	6,433192367	5,709664499	34,61267245	35,08658196	-6,049538268	130,9661111	0,955292973	13,14376236	10,87188543	1	1,248866515	NA	NA	PLCG2	myplate_01--PLCG2--515--W004--P01	C:\tutorial	myplate	1	P01--PLCG2--515	515	W004--PLCG2--515	C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515	C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515	C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515	C:\tutorial\myplate_01--cellprofiler\W004--PLCG2--515\P01--PLCG2--515
RAD52_519	myplate_01	5	1	71	32	myplate_01--RAD52--519--W005--P01--PM.tif	myplate_01--RAD52--519--W005--P01--TOTAL.tif	myplate_01--RAD52--519--W005--P01--DNA.tif	myplate_01--RAD52--519--W005--P01--outlines.tif	myplate_01--RAD52--519--W005--P01--score.tif	5	-1,720671343	0,001043641	0,000244991	15,32275518	17,59476106	1	1,03932825	1229,1875	498,5625	391,4375	1,044940062	0,569665367	1	0,748984073	0,856273653	44,14634697	43,72566458	17,11865992	6,481614645	5,772441384	34,77884729	35,44235736	-6,947503248	133,3735625	0,95747811	15,28383257	15,27468549	1	1,130871249	NA	NA	RAD52	myplate_01--RAD52--519--W005--P01	C:\tutorial	myplate	1	P01--RAD52--519	519	W005--RAD52--519	C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519	C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519	C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519	C:\tutorial\myplate_01--cellprofiler\W005--RAD52--519\P01--RAD52--519
SNCG_880	myplate_01	6	1	65	27	myplate_01--SNCG--880--W006--P01--PM.tif	myplate_01--SNCG--880--W006--P01--TOTAL.tif	myplate_01--SNCG--880--W006--P01--DNA.tif	myplate_01--SNCG--880--W006--P01--outlines.tif	myplate_01--SNCG--880--W006--P01--score.tif	6	-1,733415699	0,000631647	0,000244991	14,32536928	20,73357144	1	1,003982924	1229,962963	528,1111111	515,3333333	1,040062967	0,541434662	1	0,756028392	0,861669276	43,71684769	43,82127178	17,2733791	6,475634061	5,776576176	34,79987338	35,40726455	17,70764895	132,7766667	0,959932558	13,87846173	13,59589548	1	1,217379762	NA	NA	SNCG	myplate_01--SNCG--880--W006--P01	C:\tutorial	myplate	1	P01--SNCG--880	880	W006--SNCG--880	C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880	C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880	C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880	C:\tutorial\myplate_01--cellprofiler\W006--SNCG--880\P01--SNCG--880
CREBBP_952	myplate_01	7	1	61	17	myplate_01--CREBBP--952--W007--P01--PM.tif	myplate_01--CREBBP--952--W007--P01--TOTAL.tif	myplate_01--CREBBP--952--W007--P01--DNA.tif	myplate_01--CREBBP--952--W007--P01--outlines.tif	myplate_01--CREBBP--952--W007--P01--score.tif	7	-1,767562254	0,000570611	0,00026025	17,72109476	25,58389653	1	1,025668718	1532,823529	503,7058824	463	1,046841295	0,579124321	1	0,756699413	0,837700211	49,57014357	49,37393485	18,53850508	7,058252305	6,302398239	38,67146476	38,927654	2,219698637	150,6017647	0,957194856	15,22767993	15,78123129	1	0,989385626	NA	NA	CREBBP	myplate_01--CREBBP--952--W007--P01	C:\tutorial	myplate	1	P01--CREBBP--952	952	W007--CREBBP--952	C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952	C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952	C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952	C:\tutorial\myplate_01--cellprofiler\W007--CREBBP--952\P01--CREBBP--952
CTGF_886	myplate_01	8	1	89	43	myplate_01--CTGF--886--W008--P01--PM.tif	myplate_01--CTGF--886--W008--P01--TOTAL.tif	myplate_01--CTGF--886--W008--P01--DNA.tif	myplate_01--CTGF--886--W008--P01--outlines.tif	myplate_01--CTGF--886--W008--P01--score.tif	8	-1,724907502	0,000616388	0,00026025	14,32206005	21,74177026	1	0,903286376	1234,465116	634,9767442	400,8837209	1,033577382	0,547777138	1	0,752454277	0,865298634	43,74089457	43,66528945	17,35176466	6,541402549	5,846959894	34,80566672	35,50749552	-1,89013819	132,7993953	0,95897734	14,45772446	16,84609761	1	0,896524929	NA	NA	CTGF	myplate_01--CTGF--886--W008--P01	C:\tutorial	myplate	1	P01--CTGF--886	886	W008--CTGF--886	C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886	C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886	C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886	C:\tutorial\myplate_01--cellprofiler\W008--CTGF--886\P01--CTGF--886
COPB1_736	myplate_01	9	1	74	22	myplate_01--COPB1--736--W009--P01--PM.tif	myplate_01--COPB1--736--W009--P01--TOTAL.tif	myplate_01--COPB1--736--W009--P01--DNA.tif	myplate_01--COPB1--736--W009--P01--outlines.tif	myplate_01--COPB1--736--W009--P01--score.tif	9	-1,772883109	0,000524834	0,000306027	15,46630613	22,10199964	1	0,976743723	1427,772727	638,8636364	668,6363636	1,027555334	0,550692069	1	0,760387585	0,871189469	46,52039607	46,51849943	18,88637449	7,033769566	6,26484351	37,60601719	38,20409382	6,875083924	141,9341818	0,962856126	12,8473871	19,07909559	1	0,938775389	NA	NA	COPB1	myplate_01--COPB1--736--W009--P01	C:\tutorial	myplate	1	P01--COPB1--736	736	W009--COPB1--736	C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736	C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736	C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736	C:\tutorial\myplate_01--cellprofiler\W009--COPB1--736\P01--COPB1--736
BLM_489	myplate_01	10	1	100	45	myplate_01--BLM--489--W010--P01--PM.tif	myplate_01--BLM--489--W010--P01--TOTAL.tif	myplate_01--BLM--489--W010--P01--DNA.tif	myplate_01--BLM--489--W010--P01--outlines.tif	myplate_01--BLM--489--W010--P01--score.tif	10	-1,929171869	0,000402762	0,000244991	14,36927517	25,9106274	1	0,824847648	1463,133333	679,9555556	516,8	1,031767909	0,535923035	1	0,759258379	0,862335646	47,27665934	47,35337367	19,07340774	7,108907917	6,30711914	38,2090689	38,93730159	5,72814875	144,9268444	0,959978337	13,92666515	17,02050811	1	0,772114498	NA	NA	BLM	myplate_01--BLM--489--W010--P01	C:\tutorial	myplate	1	P01--BLM--489	489	W010--BLM--489	C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489	C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489	C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489	C:\tutorial\myplate_01--cellprofiler\W010--BLM--489\P01--BLM--489
